TargetId,SuiteId,CommitSha,TestStatus,EvidenceStatus,TestedAtUtc,LimitationCode,EvidenceReference
SQL2022-LINUX,FRAMEWORK_OUTPUT_RUNTIME,53fe82d57e6d3d53b5a16ec1c220ccb98c2050f8,PASS,INDEPENDENTLY_VERIFIED,2026-07-20T11:31:15Z,ACTIONS_SYNTHETIC_FRAMEWORK_OUTPUT,https://github.com/gecompat/SQL_Server_Analyze/actions/runs/29738745932
SQL2025-LINUX,TABLE_OUTPUT_RUNTIME,53fe82d57e6d3d53b5a16ec1c220ccb98c2050f8,PASS,INDEPENDENTLY_VERIFIED,2026-07-20T11:31:30Z,ACTIONS_SYNTHETIC_NAMED_TABLE,https://github.com/gecompat/SQL_Server_Analyze/actions/runs/29738746060
SQL2025-LINUX,FRAMEWORK_OUTPUT_PILOT,53fe82d57e6d3d53b5a16ec1c220ccb98c2050f8,PASS,INDEPENDENTLY_VERIFIED,2026-07-20T11:31:30Z,ACTIONS_SYNTHETIC_OUTPUT_PILOT,https://github.com/gecompat/SQL_Server_Analyze/actions/runs/29738746060
SQL2025-LINUX,FRAMEWORK_OUTPUT_RUNTIME,53fe82d57e6d3d53b5a16ec1c220ccb98c2050f8,PASS,INDEPENDENTLY_VERIFIED,2026-07-20T11:31:30Z,ACTIONS_SYNTHETIC_FRAMEWORK_OUTPUT,https://github.com/gecompat/SQL_Server_Analyze/actions/runs/29738746060
SQL2019-LINUX,WAVE1_OUTPUT_XML_VERSION_RUNTIME,8572c02ccec7b349d104ccf72a01489733fc03a7,PASS,INDEPENDENTLY_VERIFIED,2026-07-21T09:19:12Z,ACTIONS_SYNTHETIC_WAVE1_CONTRACT,https://github.com/gecompat/SQL_Server_Analyze/actions/runs/29817699638
SQL2022-LINUX,WAVE1_OUTPUT_XML_VERSION_RUNTIME,8572c02ccec7b349d104ccf72a01489733fc03a7,PASS,INDEPENDENTLY_VERIFIED,2026-07-21T09:19:26Z,ACTIONS_SYNTHETIC_WAVE1_CONTRACT,https://github.com/gecompat/SQL_Server_Analyze/actions/runs/29817699733
SQL2025-LINUX,WAVE1_OUTPUT_XML_VERSION_RUNTIME,8572c02ccec7b349d104ccf72a01489733fc03a7,PASS,INDEPENDENTLY_VERIFIED,2026-07-21T09:19:39Z,ACTIONS_SYNTHETIC_WAVE1_CONTRACT,https://github.com/gecompat/SQL_Server_Analyze/actions/runs/29817699655
SQL2019-LINUX,WAVE2_OPERATIONAL_DIAGNOSTICS_RUNTIME,8572c02ccec7b349d104ccf72a01489733fc03a7,PASS,INDEPENDENTLY_VERIFIED,2026-07-21T09:19:12Z,ACTIONS_SYNTHETIC_WAVE2_CONTRACT,https://github.com/gecompat/SQL_Server_Analyze/actions/runs/29817699638
SQL2022-LINUX,WAVE2_OPERATIONAL_DIAGNOSTICS_RUNTIME,8572c02ccec7b349d104ccf72a01489733fc03a7,PASS,INDEPENDENTLY_VERIFIED,2026-07-21T09:19:26Z,ACTIONS_SYNTHETIC_WAVE2_CONTRACT,https://github.com/gecompat/SQL_Server_Analyze/actions/runs/29817699733
SQL2025-LINUX,WAVE2_OPERATIONAL_DIAGNOSTICS_RUNTIME,8572c02ccec7b349d104ccf72a01489733fc03a7,PASS,INDEPENDENTLY_VERIFIED,2026-07-21T09:19:39Z,ACTIONS_SYNTHETIC_WAVE2_CONTRACT,https://github.com/gecompat/SQL_Server_Analyze/actions/runs/29817699655
